Дата;Значение
26.03.2023;27 812,46
25.03.2023;27 389,02
24.03.2023;27 603,55
23.03.2023;28 236,74
22.03.2023;27 308,04
21.03.2023;28 080,91
20.03.2023;28 010,65
19.03.2023;27 925,76
18.03.2023;27 484,74
17.03.2023;26 703,08
16.03.2023;24 845,81
15.03.2023;24 467,23
14.03.2023;24 744,52
13.03.2023;24 243,66
12.03.2023;21 495,65
11.03.2023;20 510,33
10.03.2023;20 002,48
09.03.2023;20 690,65
08.03.2023;22 111,09
07.03.2023;22 106,49
06.03.2023;22 408,07
05.03.2023;22 431,39
04.03.2023;22 198,98
03.03.2023;22 331,76
02.03.2023;23 533,85
01.03.2023;23 461,83
28.02.2023;23 340,97
27.02.2023;23 269,03
26.02.2023;23 643,53
25.02.2023;22 863,38
24.02.2023;23 212,46
23.02.2023;23 995,12
22.02.2023;23 786,63
21.02.2023;24 475,01
20.02.2023;24 801,71
19.02.2023;24 440,89
18.02.2023;24 607,02
17.02.2023;24 784,15
16.02.2023;24 520,99
15.02.2023;24 073,08
14.02.2023;22 225,17
13.02.2023;21 655,94
12.02.2023;21 998,11
11.02.2023;21 701,53
10.02.2023;21 751,70
09.02.2023;22 057,20
08.02.2023;22 886,02
07.02.2023;23 213,45
06.02.2023;23 003,58
05.02.2023;22 898,98
04.02.2023;23 421,42
03.02.2023;23 362,90
02.02.2023;23 802,21
01.02.2023;23 570,98
31.01.2023;23 121,28
30.01.2023;22 733,24
29.01.2023;23 765,59
28.01.2023;22 994,83
27.01.2023;23 173,52
26.01.2023;23 098,10
25.01.2023;22 889,58
24.01.2023;22 931,84
23.01.2023;22 894,38
22.01.2023;22 529,56
21.01.2023;23 146,92
20.01.2023;22 117,52
19.01.2023;21 078,78
18.01.2023;20 760,56
17.01.2023;21 326,05
16.01.2023;21 289,32
15.01.2023;20 896,12
14.01.2023;20 832,27
13.01.2023;19 425,48
12.01.2023;18 923,06
11.01.2023;17 534,03
10.01.2023;17 465,25
09.01.2023;17 227,47
08.01.2023;16 973,36
07.01.2023;16 945,72
06.01.2023;16 941,56
05.01.2023;16 862,85
04.01.2023;16 807,94
03.01.2023;16 657,46
02.01.2023;16 734,63
01.01.2023;16 614,17
31.12.2022;16 585,23
30.12.2022;16 546,20
29.12.2022;16 589,93
28.12.2022;16 611,49
27.12.2022;16 682,66
26.12.2022;16 847,06
25.12.2022;16 778,43
24.12.2022;16 851,30
23.12.2022;16 828,56
22.12.2022;16 779,22
21.12.2022;16 780,82
20.12.2022;16 898,36
19.12.2022;16 605,20
18.12.2022;16 777,47
17.12.2022;16 716,12
16.12.2022;16 913,46
15.12.2022;17 433,62
14.12.2022;17 753,35
13.12.2022;17 766,47
12.12.2022;17 069,99
11.12.2022;17 134,16
10.12.2022;17 180,20
09.12.2022;17 128,21
08.12.2022;17 209,51
07.12.2022;16 828,50
06.12.2022;16 990,51
05.12.2022;16 947,14
04.12.2022;17 109,89
03.12.2022;16 955,22
02.12.2022;17 003,21
01.12.2022;16 937,42
30.11.2022;17 049,34
29.11.2022;16 463,53
28.11.2022;16 238,67
27.11.2022;16 561,43
26.11.2022;16 497,49
25.11.2022;16 547,59
24.11.2022;16 570,84
23.11.2022;16 534,12
22.11.2022;16 167,49
21.11.2022;15 849,69
20.11.2022;16 524,49
19.11.2022;16 636,23
18.11.2022;16 628,82
17.11.2022;16 668,43
16.11.2022;16 569,75
15.11.2022;16 805,67
14.11.2022;16 299,83
13.11.2022;16 521,62
12.11.2022;16 811,84
11.11.2022;16 661,30
10.11.2022;17 489,69
09.11.2022;16 457,93
08.11.2022;18 345,79
07.11.2022;20 827,73
06.11.2022;21 178,59
05.11.2022;21 345,07
04.11.2022;21 072,80
03.11.2022;20 242,42
02.11.2022;20 192,12
01.11.2022;20 472,17
31.10.2022;20 428,06
30.10.2022;20 697,30
29.10.2022;20 855,85
28.10.2022;20 695,92
27.10.2022;20 419,73
26.10.2022;20 744,83
25.10.2022;20 146,76
24.10.2022;19 349,67
23.10.2022;19 460,76
22.10.2022;19 198,40
21.10.2022;19 188,90
20.10.2022;19 052,53
19.10.2022;19 201,28
18.10.2022;19 406,32
17.10.2022;19 545,02
16.10.2022;19 303,95
15.10.2022;19 097,45
14.10.2022;19 200,26
13.10.2022;19 398,59
12.10.2022;19 146,20
11.10.2022;19 047,90
10.10.2022;19 236,02
09.10.2022;19 462,87
08.10.2022;19 448,85
07.10.2022;19 543,11
06.10.2022;20 044,06
05.10.2022;20 102,50
04.10.2022;20 328,24
03.10.2022;19 558,56
02.10.2022;19 248,57
01.10.2022;19 266,73
30.09.2022;19 413,22
29.09.2022;19 452,47
28.09.2022;19 545,79
27.09.2022;19 009,97
26.09.2022;19 127,74
24.09.2022;19 140,97
23.09.2022;18 910,35
22.09.2022;19 294,42
21.09.2022;18 924,99
20.09.2022;18 974,74
19.09.2022;19 554,26
18.09.2022;19 731,09
17.09.2022;20 071,02
16.09.2022;19 726,88
15.09.2022;19 798,84
14.09.2022;19 964,12
13.09.2022;20 340,42
12.09.2022;22 426,66
11.09.2022;21 537,77
10.09.2022;21 413,10
09.09.2022;21 276,02
08.09.2022;19 378,28
07.09.2022;19 344,57
06.09.2022;18 938,30
05.09.2022;19 770,90
04.09.2022;19 900,14
03.09.2022;19 737,48
02.09.2022;19 935,20
01.09.2022;20 025,29
31.08.2022;20 186,38
30.08.2022;20 036,76
29.08.2022;20 174,09
28.08.2022;20 014,45
27.08.2022;19 976,71
26.08.2022;20 695,03
25.08.2022;21 653,28
24.08.2022;21 718,35
23.08.2022;21 489,97
22.08.2022;21 141,69
21.08.2022;21 516,94
20.08.2022;21 046,90
19.08.2022;21 259,00
18.08.2022;23 414,68
17.08.2022;23 398,95
16.08.2022;23 930,77
15.08.2022;24 023,08
14.08.2022;24 318,14
13.08.2022;24 472,55
12.08.2022;24 121,91
11.08.2022;24 201,57
10.08.2022;23 762,90
09.08.2022;23 134,32
08.08.2022;23 970,69
07.08.2022;23 238,29
06.08.2022;23 142,95
05.08.2022;22 953,87
04.08.2022;22 541,80
03.08.2022;23 325,36
02.08.2022;23 002,07
01.08.2022;23 028,10
31.07.2022;23 815,01
30.07.2022;23 978,44
29.07.2022;23 953,86
28.07.2022;23 867,02
27.07.2022;22 790,25
26.07.2022;20 919,35
25.07.2022;22 140,63
24.07.2022;22 764,72
23.07.2022;22 293,40
22.07.2022;22 605,88
21.07.2022;23 199,57
20.07.2022;23 219,76
19.07.2022;23 227,27
18.07.2022;21 547,82
17.07.2022;20 945,86
16.07.2022;21 124,31
15.07.2022;20 948,30
14.07.2022;20 598,36
13.07.2022;19 657,33
12.07.2022;19 436,56
11.07.2022;20 459,29
10.07.2022;20 945,76
09.07.2022;21 651,22
08.07.2022;21 848,77
07.07.2022;21 582,47
06.07.2022;20 308,33
05.07.2022;20 487,14
04.07.2022;19 777,26
03.07.2022;19 430,39
02.07.2022;19 250,40
01.07.2022;19 506,58
30.06.2022;18 849,17
29.06.2022;20 156,41
28.06.2022;20 273,29
27.06.2022;20 914,18
26.06.2022;21 346,52
25.06.2022;21 224,30
24.06.2022;21 182,53
23.06.2022;20 913,79
22.06.2022;19 915,95
21.06.2022;20 871,35
20.06.2022;20 277,13
19.06.2022;20 585,68
18.06.2022;17 764,77
17.06.2022;20 641,79
16.06.2022;20 678,86
15.06.2022;21 825,12
14.06.2022;21 912,07
13.06.2022;23 426,06
12.06.2022;27 422,44
11.06.2022;28 494,96
10.06.2022;29 171,12
09.06.2022;30 121,28
08.06.2022;30 222,22
07.06.2022;31 338,31
06.06.2022;31 373,97
05.06.2022;29 993,37
04.06.2022;29 721,45
03.06.2022;29 653,52
02.06.2022;30 286,22
